retriever,relevance_level,metric,comparison,condition_a,condition_b,num_questions,observed_difference,ci_lower,ci_upper,ci_width,interpretation
dense_vs_bm25,paper,recall@5,Dense vs BM25,BM25,Dense,30,0.033333,-0.066667,0.166667,0.233333,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,mrr,Dense vs BM25,BM25,Dense,30,0.058889,-0.049444,0.171111,0.220556,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@1,Dense vs BM25,BM25,Dense,30,-0.166667,-0.400000,0.066667,0.466667,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@3,Dense vs BM25,BM25,Dense,30,0.066667,-0.133333,0.266667,0.400000,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@5,Dense vs BM25,BM25,Dense,30,0.000000,-0.200000,0.200000,0.400000,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,mrr,Dense vs BM25,BM25,Dense,30,-0.053889,-0.241722,0.128361,0.370083,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,recall@1,Dense vs BM25,BM25,Dense,30,0.100000,-0.033333,0.233333,0.266667,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,recall@3,Dense vs BM25,BM25,Dense,30,0.133333,0.033333,0.266667,0.233333,B_HIGHER_SUPPORTED
dense_vs_bm25,paper,recall@5,Dense vs BM25,BM25,Dense,30,0.033333,0.000000,0.100000,0.100000,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,mrr,Dense vs BM25,BM25,Dense,30,0.098889,0.012736,0.208917,0.196181,B_HIGHER_SUPPORTED
dense_vs_bm25,page,recall@1,Dense vs BM25,BM25,Dense,30,0.000000,-0.233333,0.233333,0.466667,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@3,Dense vs BM25,BM25,Dense,30,-0.066667,-0.300000,0.133333,0.433333,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@5,Dense vs BM25,BM25,Dense,30,-0.200000,-0.366667,-0.033333,0.333333,A_HIGHER_SUPPORTED
dense_vs_bm25,page,mrr,Dense vs BM25,BM25,Dense,30,-0.038889,-0.230625,0.150000,0.380625,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,recall@1,Dense vs BM25,BM25,Dense,30,-0.200000,-0.400000,-0.033333,0.366667,A_HIGHER_SUPPORTED
dense_vs_bm25,paper,recall@3,Dense vs BM25,BM25,Dense,30,-0.066667,-0.200000,0.066667,0.266667,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,recall@5,Dense vs BM25,BM25,Dense,30,0.033333,0.000000,0.100000,0.100000,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,mrr,Dense vs BM25,BM25,Dense,30,-0.117222,-0.258431,0.015042,0.273472,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@1,Dense vs BM25,BM25,Dense,30,-0.033333,-0.233333,0.166667,0.400000,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@3,Dense vs BM25,BM25,Dense,30,-0.233333,-0.433333,-0.066667,0.366667,A_HIGHER_SUPPORTED
dense_vs_bm25,page,recall@5,Dense vs BM25,BM25,Dense,30,-0.233333,-0.400000,-0.066667,0.333333,A_HIGHER_SUPPORTED
dense_vs_bm25,page,mrr,Dense vs BM25,BM25,Dense,30,-0.083333,-0.258403,0.097292,0.355694,NO_CLEAR_DIFFERENCE
