retriever,chunk_size,total_results,correct_page,correct_page_rate,correct_paper_wrong_page,correct_paper_wrong_page_rate,wrong_paper,wrong_paper_rate,rank_1_correct_page,rank_2_correct_page,rank_3_correct_page,rank_4_correct_page,rank_5_correct_page
bm25,200,75,15,0.200000,31,0.413333,29,0.386667,2,2,4,4,3
bm25,400,75,18,0.240000,30,0.400000,27,0.360000,2,2,6,5,3
bm25,800,75,20,0.266667,29,0.386667,26,0.346667,5,3,7,3,2
dense,200,75,19,0.253333,33,0.440000,23,0.306667,2,7,4,3,3
dense,400,75,15,0.200000,32,0.426667,28,0.373333,4,5,2,2,2
dense,800,75,17,0.226667,23,0.306667,35,0.466667,5,3,3,3,3
